country,GDP_per_capita,Life_expectancy,School_enrollment,CO2_equivalent,Electricity_access,Unemployment_rate
St. Lucia,1.545105927689244,0.4601618649615477,0.6168710960215087,-0.4908342665953412,0.6093361654488483,2.7241075808237825
St. Vincent and the Grenadines,1.5231862310915618,-0.036519103265286755,1.7506450646769796,-0.6722188726635866,0.6093361654488483,2.005424128904662
Suriname,0.20671554193360553,0.46255063765372095,0.9448520452423183,0.5362301229740989,0.5468234517079034,0.17903789742050671
Tanzania,-1.1251926062643318,-0.5572715501594225,0.6199597370767371,-0.7683188477744924,-1.7387976444454047,-0.9455787659552195
Thailand,1.0232381573300182,1.3831468828688303,0.5272470821066655,0.38731165242234444,0.6093361654488483,-1.054109520407159
Timor-Leste,-0.9372107376002634,-0.5300762918177394,-0.9730881099319413,-0.74125994769171,0.4530543810964854,-0.7864629701064885
Togo,-1.2181655895949282,-1.5919776293622718,-0.9133564945149717,-0.8393749030513018,-1.1839973099945162,-0.8768269604654627
Tonga,0.22024937060847682,0.4732082388957335,-0.32497853203170574,-0.3456476254021266,0.6054291208400394,-0.8014975334937702
Turkiye,1.686807196875147,1.235042975953985,-0.5966528803765955,0.6238716920003552,0.6093361654488483,0.8328847947319752
Turkmenistan,0.6523955370693195,-0.17598667813919247,-0.718051799811122,3.1244589633017203,0.6093361654488483,-0.5232015007937749
Ukraine,-0.17609988700093235,0.6393198168746665,0.8631810947004853,0.6331562851065036,0.6093361654488483,0.257656135133167
Uzbekistan,-0.8100192441547444,0.3045241364790717,-0.5428638229200783,0.4584558150505946,0.6093361654488483,-0.3972870324252909
Vanuatu,-0.42021704962503376,0.10680725826520936,1.3950394278246274,-0.5690223445179466,-0.6682674216317187,-0.5925797464246685
Viet Nam,-0.24043671298934088,1.025198482533693,1.0831879679807497,0.22269028148606304,0.60152207623123,-0.8968730449818383
Zimbabwe,-0.7802199222991756,-1.5203144485970237,0.4419583338006823,-0.699993054848438,-1.2386959345178432,0.1232847248593372
